s,A(s) (GHz),B(s) (GHz)
0.143,6.84435400,0.32529210
0.144,6.82258800,0.32631240
0.145,6.80082200,0.32733440
0.146,6.77905500,0.32835790
0.147,6.75702400,0.32943310
0.148,6.73488400,0.33053070
0.149,6.71274400,0.33163010
0.150,6.69060400,0.33273130
0.151,6.66846500,0.33383440
0.152,6.64632500,0.33493930
0.153,6.62418500,0.33604600
0.154,6.60204500,0.33715450
0.155,6.57990500,0.33826490
0.156,6.55776500,0.33937710
0.157,6.53552000,0.34050990
0.158,6.51307700,0.34167960
0.159,6.49063300,0.34285130
0.160,6.46819000,0.34402510
0.161,6.44574700,0.34520080
0.162,6.42330400,0.34637860
0.163,6.40086000,0.34755830
0.164,6.37839000,0.34874600
0.165,6.35562900,0.35000100
0.166,6.33286700,0.35125830
0.167,6.31010600,0.35251780
0.168,6.28734400,0.35377960
0.169,6.26458200,0.35504360
0.170,6.24182100,0.35630990
0.171,6.21905900,0.35757850
0.172,6.19629800,0.35884940
0.173,6.17353600,0.36012250
0.174,6.15073500,0.36140610
0.175,6.12757900,0.36276570
0.176,6.10442400,0.36412790
0.177,6.08126800,0.36549260
0.178,6.05811300,0.36685990
0.179,6.03495700,0.36822970
0.180,6.01180200,0.36960210
0.181,5.98864700,0.37097700
0.182,5.96531500,0.37240180
0.183,5.94177500,0.37388550
0.184,5.91823500,0.37537210
0.185,5.89469500,0.37686180
0.186,5.87115500,0.37835430
0.187,5.84761500,0.37984990
0.188,5.82407500,0.38134830
0.189,5.80053500,0.38284980
0.190,5.77699600,0.38435420
0.191,5.75345600,0.38586160
0.192,5.72962900,0.38744350
0.193,5.70575300,0.38904080
0.194,5.68187700,0.39064140
0.195,5.65800100,0.39224530
0.196,5.63412500,0.39385250
0.197,5.61024900,0.39546300
0.198,5.58637300,0.39707670
0.199,5.56249700,0.39869380
0.200,5.53830800,0.40042040
0.201,5.51405600,0.40217230
0.202,5.48980400,0.40392800
0.203,5.46555200,0.40568770
0.204,5.44130000,0.40745110
0.205,5.41704900,0.40921840
0.206,5.39279700,0.41098960
0.207,5.36854500,0.41276460
0.208,5.34429300,0.41454340
0.209,5.31979600,0.41640130
0.210,5.29514100,0.41831210
0.211,5.27048600,0.42022730
0.212,5.24583100,0.42214690
0.213,5.22117600,0.42407080
0.214,5.19652100,0.42599910
0.215,5.17186600,0.42793180
0.216,5.14721100,0.42986890
0.217,5.12248000,0.43184480
0.218,5.09745300,0.43395860
0.219,5.07242700,0.43607760
0.220,5.04740100,0.43820190
0.221,5.02237500,0.44033130
0.222,4.99734800,0.44246590
0.223,4.97232200,0.44460570
0.224,4.94729600,0.44675070
0.225,4.92226900,0.44890090
0.226,4.89711700,0.45110560
0.227,4.87174100,0.45340350
0.228,4.84636500,0.45570720
0.229,4.82098900,0.45801680
0.230,4.79561300,0.46033220
0.231,4.77023600,0.46265350
0.232,4.74486000,0.46498050
0.233,4.71948400,0.46731350
0.234,4.69410800,0.46965220
0.235,4.66855400,0.47210730
0.236,4.64287200,0.47464900
0.237,4.61719000,0.47719760
0.238,4.59150800,0.47975300
0.239,4.56582600,0.48231530
0.240,4.54014400,0.48488460
0.241,4.51446100,0.48746060
0.242,4.48877900,0.49004360
0.243,4.46305600,0.49265470
0.244,4.43701800,0.49543870
0.245,4.41098000,0.49823050
0.246,4.38494100,0.50103020
0.247,4.35890300,0.50383780
0.248,4.33286400,0.50665320
0.249,4.30682600,0.50947640
0.250,4.28078700,0.51230750
0.251,4.25474900,0.51514640
0.252,4.22871100,0.51799320
0.253,4.20239400,0.52112700
0.254,4.17606300,0.52428380
0.255,4.14973300,0.52745030
0.256,4.12340300,0.53062640
0.257,4.09707200,0.53381210
0.258,4.07074200,0.53700750
0.259,4.04441200,0.54021240
0.260,4.01808100,0.54342710
0.261,3.99147700,0.54686670
0.262,3.96483000,0.55035050
0.263,3.93818300,0.55384530
0.264,3.91153600,0.55735120
0.265,3.88488900,0.56086820
0.266,3.85824200,0.56439620
0.267,3.83159500,0.56793530
0.268,3.80494900,0.57148550
0.269,3.77830200,0.57504670
0.270,3.75160600,0.57872630
0.271,3.72481200,0.58263840
0.272,3.69801700,0.58656380
0.273,3.67122300,0.59050250
0.274,3.64442800,0.59445440
0.275,3.61763400,0.59841970
0.276,3.59083900,0.60239830
0.277,3.56404400,0.60639020
0.278,3.53712100,0.61058400
0.279,3.51011800,0.61490840
0.280,3.48311600,0.61924810
0.281,3.45611300,0.62360300
0.282,3.42911100,0.62797330
0.283,3.40210800,0.63235870
0.284,3.37510600,0.63675950
0.285,3.34810300,0.64117540
0.286,3.32110100,0.64560670
0.287,3.29409800,0.65005320
0.288,3.26710800,0.65481980
0.289,3.24012300,0.65973370
0.290,3.21313800,0.66466610
0.291,3.18615300,0.66961710
0.292,3.15916800,0.67458660
0.293,3.13218300,0.67957460
0.294,3.10519900,0.68458120
0.295,3.07818600,0.68974420
0.296,3.05112600,0.69515940
0.297,3.02406600,0.70059570
0.298,2.99700600,0.70605320
0.299,2.96994600,0.71153190
0.300,2.94288600,0.71703180
0.301,2.91582600,0.72255280
0.302,2.88876600,0.72809500
0.303,2.86170600,0.73365840
0.304,2.83464600,0.73924300
0.305,2.80760800,0.74488970
0.306,2.78084100,0.75105540
0.307,2.75407400,0.75724670
0.308,2.72730700,0.76346370
0.309,2.70054100,0.76970630
0.310,2.67377400,0.77597460
0.311,2.64700700,0.78226850
0.312,2.62025800,0.78864980
0.313,2.59363900,0.79548670
0.314,2.56702000,0.80235300
0.315,2.54040100,0.80924890
0.316,2.51378200,0.81617430
0.317,2.48716200,0.82312920
0.318,2.46054300,0.83011360
0.319,2.43392400,0.83712760
0.320,2.40730500,0.84417100
0.321,2.38068500,0.85124390
0.322,2.35406600,0.85834640
0.323,2.32775900,0.86574700
0.324,2.30183400,0.87350880
0.325,2.27590800,0.88130550
0.326,2.24998200,0.88913720
0.327,2.22405700,0.89700360
0.328,2.19813100,0.90490500
0.329,2.17220500,0.91284120
0.330,2.14671200,0.92131690
0.331,2.12127800,0.92990130
0.332,2.09584400,0.93852560
0.333,2.07041000,0.94718960
0.334,2.04497600,0.95589350
0.335,2.01954200,0.96463720
0.336,1.99410800,0.97342070
0.337,1.96867400,0.98224400
0.338,1.94324000,0.99110710
0.339,1.91780600,1.00001000
0.340,1.89237200,1.00895300
0.341,1.86783400,1.01837500
0.342,1.84348600,1.02793500
0.343,1.81913900,1.03753900
0.344,1.79479200,1.04718900
0.345,1.77044400,1.05688300
0.346,1.74609700,1.06662200
0.347,1.72227600,1.07674900
0.348,1.69876200,1.08712500
0.349,1.67524800,1.09755000
0.350,1.65173300,1.10802500
0.351,1.62821900,1.11854900
0.352,1.60470500,1.12912400
0.353,1.58119100,1.13974800
0.354,1.55767600,1.15042200
0.355,1.53416200,1.16114500
0.356,1.51064800,1.17191900
0.357,1.48713400,1.18274200
0.358,1.46390800,1.19368500
0.359,1.44184900,1.20496700
0.360,1.41979100,1.21630100
0.361,1.39773200,1.22768900
0.362,1.37567300,1.23913000
0.363,1.35361500,1.25062300
0.364,1.33204900,1.26236100
0.365,1.31127000,1.27446000
0.366,1.29049000,1.28661600
0.367,1.26971100,1.29883000
0.368,1.24893100,1.31110200
0.369,1.22815200,1.32343200
0.370,1.20737300,1.33581900
0.371,1.18659300,1.34826400
0.372,1.16581400,1.36076700
0.373,1.14503400,1.37332700
0.374,1.12425500,1.38594500
0.375,1.10347500,1.39862100
0.376,1.08376300,1.41139600
0.377,1.06484600,1.42426000
0.378,1.04593000,1.43718200
0.379,1.02701400,1.45016300
0.380,1.00809700,1.46320200
0.381,0.98941890,1.47633700
0.382,0.97221750,1.48976500
0.383,0.95501610,1.50325300
0.384,0.93781470,1.51680300
0.385,0.92061330,1.53041300
0.386,0.90341190,1.54408500
0.387,0.88621050,1.55781700
0.388,0.86900910,1.57161000
0.389,0.85180780,1.58546400
0.390,0.83460640,1.59937800
0.391,0.81740500,1.61335400
0.392,0.80020360,1.62739000
0.393,0.78300220,1.64148800
0.394,0.76759190,1.65536800
0.395,0.75228280,1.66929100
0.396,0.73697370,1.68327300
0.397,0.72166470,1.69731300
0.398,0.70635560,1.71141200
0.399,0.69282080,1.72549400
0.400,0.67950140,1.73962500
0.401,0.66618200,1.75381300
0.402,0.65286270,1.76806000
0.403,0.63954330,1.78236400
0.404,0.62622390,1.79672500
0.405,0.61290450,1.81114500
0.406,0.59958510,1.82562200
0.407,0.58626570,1.84015700
0.408,0.57294640,1.85475000
0.409,0.55962700,1.86940000
0.410,0.54630760,1.88410900
0.411,0.53353440,1.89870100
0.412,0.52191880,1.91298100
0.413,0.51030320,1.92731400
0.414,0.49868760,1.94170200
0.415,0.48707200,1.95614300
0.416,0.47655180,1.97041400
0.417,0.46663500,1.98461300
0.418,0.45671810,1.99886400
0.419,0.44680120,2.01316500
0.420,0.43688430,2.02751800
0.421,0.42696740,2.04192100
0.422,0.41705050,2.05637600
0.423,0.40713370,2.07088200
0.424,0.39721680,2.08543900
0.425,0.38729990,2.10004700
0.426,0.37738300,2.11470700
0.427,0.36746610,2.12941700
0.428,0.35754920,2.14417900
0.429,0.34851520,2.15858600
0.430,0.33986930,2.17286400
0.431,0.33122340,2.18718900
0.432,0.32257750,2.20156100
0.433,0.31460990,2.21574700
0.434,0.30766840,2.22962600
0.435,0.30072680,2.24354700
0.436,0.29378520,2.25751200
0.437,0.28684360,2.27152100
0.438,0.27990200,2.28557300
0.439,0.27296040,2.29966900
0.440,0.26601890,2.31380700
0.441,0.25907730,2.32799000
0.442,0.25213570,2.34221600
0.443,0.24519410,2.35648500
0.444,0.23825250,2.37079800
0.445,0.23131090,2.38515400
0.446,0.22444440,2.39950800
0.447,0.21859640,2.41328700
0.448,0.21274830,2.42710600
0.449,0.20690030,2.44096500
0.450,0.20124930,2.45476800
0.451,0.19670580,2.46806700
0.452,0.19216230,2.48140200
0.453,0.18761880,2.49477300
0.454,0.18307530,2.50818100
0.455,0.17853180,2.52162400
0.456,0.17398830,2.53510300
0.457,0.16944480,2.54861900
0.458,0.16490130,2.56217000
0.459,0.16035780,2.57575700
0.460,0.15581430,2.58938100
0.461,0.15127080,2.60304000
0.462,0.14672730,2.61673600
0.463,0.14218380,2.63046800
0.464,0.13792150,2.64401400
0.465,0.13401330,2.65731700
0.466,0.13010510,2.67065400
0.467,0.12619690,2.68402500
0.468,0.12316980,2.69686400
0.469,0.12023600,2.70967400
0.470,0.11730220,2.72251400
0.471,0.11436850,2.73538500
0.472,0.11143470,2.74828600
0.473,0.10850090,2.76121800
0.474,0.10556710,2.77418000
0.475,0.10263340,2.78717300
0.476,0.09969961,2.80019500
0.477,0.09676583,2.81324900
0.478,0.09383206,2.82633200
0.479,0.09089829,2.83944600
0.480,0.08796452,2.85259100
0.481,0.08503075,2.86576600
0.482,0.08250034,2.87855800
0.483,0.08006043,2.89128600
0.484,0.07762052,2.90404300
0.485,0.07556138,2.91651600
0.486,0.07370073,2.92885400
0.487,0.07184008,2.94121800
0.488,0.06997942,2.95360700
0.489,0.06811877,2.96602300
0.490,0.06625812,2.97846500
0.491,0.06439747,2.99093300
0.492,0.06253681,3.00342800
0.493,0.06067616,3.01594800
0.494,0.05881551,3.02849400
0.495,0.05695486,3.04106700
0.496,0.05509421,3.05366500
0.497,0.05323355,3.06629000
0.498,0.05137290,3.07894100
0.499,0.04956770,3.09153900
0.500,0.04799770,3.10382900
0.501,0.04642769,3.11614300
0.502,0.04504621,3.12828100
0.503,0.04393551,3.14015500
0.504,0.04282480,3.15205200
0.505,0.04171410,3.16397100
0.506,0.04060339,3.17591300
0.507,0.03949269,3.18787700
0.508,0.03838198,3.19986400
0.509,0.03727128,3.21187300
0.510,0.03616057,3.22390500
0.511,0.03504987,3.23595900
0.512,0.03393916,3.24803600
0.513,0.03282846,3.26013600
0.514,0.03171775,3.27225800
0.515,0.03060705,3.28440200
0.516,0.02949634,3.29656900
0.517,0.02848918,3.30854600
0.518,0.02756179,3.32038100
0.519,0.02667888,3.33217200
0.520,0.02602338,3.34364600
0.521,0.02536788,3.35514100
0.522,0.02471237,3.36665500
0.523,0.02405687,3.37818900
0.524,0.02340137,3.38974300
0.525,0.02274586,3.40131700
0.526,0.02209036,3.41291000
0.527,0.02143485,3.42452300
0.528,0.02077935,3.43615600
0.529,0.02012385,3.44780800
0.530,0.01946834,3.45948100
0.531,0.01881284,3.47117300
0.532,0.01815734,3.48288500
0.533,0.01750183,3.49461600
0.534,0.01684633,3.50636800
0.535,0.01628140,3.51786600
0.536,0.01572237,3.52936600
0.537,0.01531593,3.54056100
0.538,0.01492335,3.55174300
0.539,0.01453078,3.56294300
0.540,0.01413820,3.57416100
0.541,0.01374563,3.58539700
0.542,0.01335305,3.59665000
0.543,0.01296048,3.60792100
0.544,0.01256791,3.61920900
0.545,0.01217533,3.63051500
0.546,0.01178276,3.64183900
0.547,0.01139018,3.65318000
0.548,0.01099761,3.66453900
0.549,0.01060503,3.67591600
0.550,0.01021246,3.68731000
0.551,0.00981988,3.69872200
0.552,0.00944817,3.71005900
0.553,0.00912227,3.72120800
0.554,0.00886014,3.73217900
0.555,0.00862945,3.74307100
0.556,0.00839875,3.75397800
0.557,0.00816806,3.76490100
0.558,0.00793736,3.77584000
0.559,0.00770667,3.78679500
0.560,0.00747597,3.79776600
0.561,0.00724528,3.80875200
0.562,0.00701459,3.81975500
0.563,0.00678389,3.83077400
0.564,0.00655320,3.84180800
0.565,0.00632250,3.85285800
0.566,0.00609181,3.86392400
0.567,0.00586111,3.87500600
0.568,0.00563042,3.88610400
0.569,0.00539972,3.89721800
0.570,0.00519444,3.90816600
0.571,0.00502788,3.91892100
0.572,0.00489834,3.92952100
0.573,0.00476881,3.94013500
0.574,0.00463927,3.95076300
0.575,0.00450974,3.96140600
0.576,0.00438021,3.97206300
0.577,0.00425067,3.98273500
0.578,0.00412114,3.99342000
0.579,0.00399160,4.00412000
0.580,0.00386207,4.01483500
0.581,0.00373253,4.02556300
0.582,0.00360300,4.03630600
0.583,0.00347346,4.04706400
0.584,0.00334393,4.05783500
0.585,0.00321440,4.06862100
0.586,0.00308486,4.07942100
0.587,0.00295662,4.09022100
0.588,0.00285460,4.10075500
0.589,0.00278206,4.11108500
0.590,0.00270952,4.12142900
0.591,0.00263699,4.13178500
0.592,0.00256445,4.14215500
0.593,0.00249191,4.15253800
0.594,0.00241937,4.16293300
0.595,0.00234683,4.17334200
0.596,0.00227429,4.18376300
0.597,0.00220175,4.19419800
0.598,0.00212922,4.20464500
0.599,0.00205668,4.21510600
0.600,0.00198414,4.22557900
0.601,0.00191160,4.23606600
0.602,0.00183906,4.24656600
0.603,0.00176652,4.25707800
0.604,0.00169398,4.26760400
0.605,0.00162626,4.27805100
0.606,0.00158303,4.28817700
0.607,0.00154119,4.29829800
0.608,0.00149936,4.30843200
0.609,0.00145752,4.31857700
0.610,0.00141568,4.32873500
0.611,0.00137384,4.33890400
0.612,0.00133201,4.34908500
0.613,0.00129017,4.35927800
0.614,0.00124833,4.36948300
0.615,0.00120649,4.37970000
0.616,0.00116465,4.38992900
0.617,0.00112282,4.40017000
0.618,0.00108098,4.41042300
0.619,0.00103914,4.42068700
0.620,0.00099730,4.43096400
0.621,0.00095547,4.44125300
0.622,0.00091363,4.45155300
0.623,0.00088521,4.46154900
0.624,0.00086176,4.47144700
0.625,0.00083832,4.48135600
0.626,0.00081488,4.49127700
0.627,0.00079144,4.50120800
0.628,0.00076800,4.51115000
0.629,0.00074456,4.52110300
0.630,0.00072112,4.53106800
0.631,0.00069768,4.54104300
0.632,0.00067423,4.55102900
0.633,0.00065079,4.56102600
0.634,0.00062735,4.57103400
0.635,0.00060391,4.58105400
0.636,0.00058047,4.59108400
0.637,0.00055703,4.60112500
0.638,0.00053359,4.61117700
0.639,0.00051015,4.62124000
0.640,0.00049043,4.63118500
0.641,0.00047765,4.64086200
0.642,0.00046488,4.65054900
0.643,0.00045211,4.66024600
0.644,0.00043934,4.66995400
0.645,0.00042656,4.67967100
0.646,0.00041379,4.68939900
0.647,0.00040102,4.69913700
0.648,0.00038824,4.70888400
0.649,0.00037547,4.71864200
0.650,0.00036270,4.72841000
0.651,0.00034992,4.73818900
0.652,0.00033715,4.74797700
0.653,0.00032438,4.75777500
0.654,0.00031160,4.76758400
0.655,0.00029883,4.77740200
0.656,0.00028606,4.78723100
0.657,0.00027397,4.79703400
0.658,0.00026596,4.80659400
0.659,0.00025885,4.81608500
0.660,0.00025173,4.82558500
0.661,0.00024461,4.83509400
0.662,0.00023749,4.84461300
0.663,0.00023038,4.85414100
0.664,0.00022326,4.86367900
0.665,0.00021614,4.87322600
0.666,0.00020902,4.88278200
0.667,0.00020190,4.89234800
0.668,0.00019479,4.90192300
0.669,0.00018767,4.91150800
0.670,0.00018055,4.92110100
0.671,0.00017343,4.93070500
0.672,0.00016631,4.94031700
0.673,0.00015920,4.94993900
0.674,0.00015208,4.95957000
0.675,0.00014684,4.96904900
0.676,0.00014281,4.97836200
0.677,0.00013885,4.98767200
0.678,0.00013490,4.99699000
0.679,0.00013095,5.00631700
0.680,0.00012699,5.01565300
0.681,0.00012304,5.02499700
0.682,0.00011909,5.03435000
0.683,0.00011513,5.04371200
0.684,0.00011118,5.05308300
0.685,0.00010722,5.06246200
0.686,0.00010327,5.07185000
0.687,0.00009932,5.08124700
0.688,0.00009536,5.09065200
0.689,0.00009141,5.10006600
0.690,0.00008745,5.10948900
0.691,0.00008350,5.11892000
0.692,0.00008040,5.12823700
0.693,0.00007787,5.13745800
0.694,0.00007576,5.14657200
0.695,0.00007365,5.15569400
0.696,0.00007154,5.16482500
0.697,0.00006942,5.17396300
0.698,0.00006731,5.18311000
0.699,0.00006520,5.19226500
0.700,0.00006309,5.20142700
0.701,0.00006098,5.21059800
0.702,0.00005887,5.21977700
0.703,0.00005676,5.22896400
0.704,0.00005464,5.23815900
0.705,0.00005253,5.24736200
0.706,0.00005042,5.25657400
0.707,0.00004831,5.26579300
0.708,0.00004620,5.27502000
0.709,0.00004437,5.28418300
0.710,0.00004290,5.29326300
0.711,0.00004165,5.30224700
0.712,0.00004050,5.31118900
0.713,0.00003936,5.32013800
0.714,0.00003821,5.32909500
0.715,0.00003706,5.33806000
0.716,0.00003591,5.34703200
0.717,0.00003476,5.35601100
0.718,0.00003361,5.36499900
0.719,0.00003247,5.37399300
0.720,0.00003132,5.38299600
0.721,0.00003017,5.39200500
0.722,0.00002902,5.40102300
0.723,0.00002787,5.41004700
0.724,0.00002673,5.41908000
0.725,0.00002558,5.42812000
0.726,0.00002450,5.43713600
0.727,0.00002370,5.44603400
0.728,0.00002292,5.45493100
0.729,0.00002229,5.46370700
0.730,0.00002166,5.47248900
0.731,0.00002104,5.48127900
0.732,0.00002041,5.49007500
0.733,0.00001978,5.49887900
0.734,0.00001916,5.50768900
0.735,0.00001853,5.51650700
0.736,0.00001790,5.52533200
0.737,0.00001727,5.53416300
0.738,0.00001665,5.54300200
0.739,0.00001602,5.55184800
0.740,0.00001539,5.56070100
0.741,0.00001477,5.56956100
0.742,0.00001414,5.57842800
0.743,0.00001351,5.58730200
0.744,0.00001305,5.59605700
0.745,0.00001260,5.60481100
0.746,0.00001220,5.61351100
0.747,0.00001185,5.62213400
0.748,0.00001150,5.63076400
0.749,0.00001115,5.63940100
0.750,0.00001080,5.64804400
0.751,0.00001045,5.65669400
0.752,0.00001011,5.66535000
0.753,0.00000976,5.67401300
0.754,0.00000941,5.68268300
0.755,0.00000906,5.69135900
0.756,0.00000871,5.70004200
0.757,0.00000836,5.70873100
0.758,0.00000802,5.71742700
0.759,0.00000767,5.72613000
0.760,0.00000732,5.73484000
0.761,0.00000705,5.74345200
0.762,0.00000682,5.75202800
0.763,0.00000658,5.76061000
0.764,0.00000639,5.76909200
0.765,0.00000621,5.77755300
0.766,0.00000602,5.78602100
0.767,0.00000584,5.79449500
0.768,0.00000566,5.80297500
0.769,0.00000548,5.81146100
0.770,0.00000529,5.81995300
0.771,0.00000511,5.82845200
0.772,0.00000493,5.83695700
0.773,0.00000474,5.84546800
0.774,0.00000456,5.85398500
0.775,0.00000438,5.86250800
0.776,0.00000420,5.87103800
0.777,0.00000401,5.87957400
0.778,0.00000386,5.88805400
0.779,0.00000373,5.89646900
0.780,0.00000360,5.90489000
0.781,0.00000348,5.91329300
0.782,0.00000339,5.92159500
0.783,0.00000329,5.92990200
0.784,0.00000319,5.93821500
0.785,0.00000309,5.94653400
0.786,0.00000299,5.95485800
0.787,0.00000289,5.96318800
0.788,0.00000280,5.97152500
0.789,0.00000270,5.97986700
0.790,0.00000260,5.98821500
0.791,0.00000250,5.99656800
0.792,0.00000240,6.00492800
0.793,0.00000231,6.01329300
0.794,0.00000221,6.02166400
0.795,0.00000212,6.03001300
0.796,0.00000205,6.03826300
0.797,0.00000198,6.04651900
0.798,0.00000192,6.05478000
0.799,0.00000186,6.06298700
0.800,0.00000180,6.07115000
0.801,0.00000175,6.07931800
0.802,0.00000170,6.08749200
0.803,0.00000165,6.09567100
0.804,0.00000159,6.10385600
0.805,0.00000154,6.11204600
0.806,0.00000149,6.12024200
0.807,0.00000143,6.12844300
0.808,0.00000138,6.13665000
0.809,0.00000133,6.14486200
0.810,0.00000127,6.15307900
0.811,0.00000122,6.16130300
0.812,0.00000117,6.16953100
0.813,0.00000113,6.17766000
0.814,0.00000109,6.18579000
0.815,0.00000105,6.19392600
0.816,0.00000101,6.20206700
0.817,0.00000098,6.21009400
0.818,0.00000095,6.21811700
0.819,0.00000093,6.22614500
0.820,0.00000090,6.23417800
0.821,0.00000087,6.24221600
0.822,0.00000084,6.25026000
0.823,0.00000081,6.25830800
0.824,0.00000078,6.26636200
0.825,0.00000075,6.27442100
0.826,0.00000072,6.28248500
0.827,0.00000069,6.29055400
0.828,0.00000066,6.29862900
0.829,0.00000063,6.30670900
0.830,0.00000061,6.31470100
0.831,0.00000059,6.32266300
0.832,0.00000057,6.33062900
0.833,0.00000055,6.33860100
0.834,0.00000053,6.34654800
0.835,0.00000052,6.35442900
0.836,0.00000050,6.36231500
0.837,0.00000049,6.37020600
0.838,0.00000047,6.37810200
0.839,0.00000046,6.38600200
0.840,0.00000044,6.39390800
0.841,0.00000043,6.40181800
0.842,0.00000041,6.40973400
0.843,0.00000040,6.41765400
0.844,0.00000038,6.42557900
0.845,0.00000036,6.43350900
0.846,0.00000035,6.44144400
0.847,0.00000034,6.44933500
0.848,0.00000033,6.45717700
0.849,0.00000031,6.46502400
0.850,0.00000030,6.47287500
0.851,0.00000029,6.48073100
0.852,0.00000028,6.48851600
0.853,0.00000027,6.49626900
0.854,0.00000027,6.50402700
0.855,0.00000026,6.51178900
0.856,0.00000025,6.51955600
0.857,0.00000024,6.52732700
0.858,0.00000023,6.53510300
0.859,0.00000022,6.54288400
0.860,0.00000022,6.55066900
0.861,0.00000021,6.55845900
0.862,0.00000020,6.56625400
0.863,0.00000019,6.57405300
0.864,0.00000018,6.58183200
0.865,0.00000018,6.58953000
0.866,0.00000017,6.59723300
0.867,0.00000016,6.60494000
0.868,0.00000016,6.61265200
0.869,0.00000015,6.62036400
0.870,0.00000015,6.62798100
0.871,0.00000014,6.63560200
